id_x,endereco_x,id_lt_x,id_y,endereco_y,id_lt_y,score
244896,jRUA CRISTALIA 4147 ZONA LESTE,21,241075,RUA CARUANA 4015 ZONA LESTE,3766,0.09534746
244896,jRUA CRISTALIA 4147 ZONA LESTE,21,226720,RUA ANAPOLIS 9722 ZONA LESTE,3095,0.0960569
244896,jRUA CRISTALIA 4147 ZONA LESTE,21,269434,RUA JARAGUA 4135 ZONA LESTE,2763,0.09617703
244896,jRUA CRISTALIA 4147 ZONA LESTE,21,267353,RUA ITUMBIARA 9433 ZONA LESTE,8049,0.096210666
393977,AVENIDA MANOEL MELGAR 6912 CENTRO,22,393977,AVENIDA MANOEL MELGAR 6912 CENTRO,7404,4.734309e-06
393977,AVENIDA MANOEL MELGAR 6912 CENTRO,22,396411,AVENIDA GETULHO VARGAS 4373 CENTRO,2214,0.054660127
393977,AVENIDA MANOEL MELGAR 6912 CENTRO,22,402126,AVENIDA MARECHAL RONDON 3452 CENTRO,9791,0.057380352
393977,AVENIDA MANOEL MELGAR 6912 CENTRO,22,335628,AVENIDA RUI BARBOSA 1548 CENTRO,4000,0.05754128
393977,AVENIDA MANOEL MELGAR 6912 CENTRO,22,99517,AVENIDA MENDONCA LIMA 787 CENTRO,8303,0.057614394
1021836,RUA BUENOS ARS 100 wNTONIO,23,145560,RUA JULIO PRESTES 171 RIACHUELO,7316,0.109896116
1021836,RUA BUENOS ARS 100 wNTONIO,23,1075117,RUA DO AREAL 210 COMPENSA,4903,0.113431185
1021836,RUA BUENOS ARS 100 wNTONIO,23,1031176,RUA CARLOS DIAS 71 CRESPO,1098,0.11427553
1021836,RUA BUENOS ARS 100 wNTONIO,23,1050442,RUA CRISTO REI 22 COMPENSA,5146,0.117441624
1021836,RUA BUENOS ARS 100 wNTONIO,23,1061663,RUA DAMASCO 25 PLANALTO,2322,0.118966796
133652,RUA CARLOS LUZ 266 RIACHUELO,24,133652,RUA CARLOS LUZ 266 RIACHUELO,9397,4.6211308e-06
133652,RUA CARLOS LUZ 266 RIACHUELO,24,133654,RUA CARLOS LUZ 276 RIACHUELO,6521,0.0034806163
133652,RUA CARLOS LUZ 266 RIACHUELO,24,240809,RUA CARMELIAS 6561 ELDORADO,6724,0.047910605
133652,RUA CARLOS LUZ 266 RIACHUELO,24,577443,RUA HUGO CARNEIRO 654 BOSQUE,3370,0.049964894
133652,RUA CARLOS LUZ 266 RIACHUELO,24,577451,RUA HUGO CARNEIRO 714 BOSQUE,2155,0.051729612
638579,RODOVA Av 40 1724 RAMAaL ITUdUMA,25,638579,RODOVIA AC 40 1724 RAMAL ITUCUMA,3788,0.0972549
638579,RODOVA Av 40 1724 RAMAaL ITUdUMA,25,650247,RAMAL LIMERA 11 BR317,5869,0.119167015
638579,RODOVA Av 40 1724 RAMAaL ITUdUMA,25,47353,RUA 7 1484 MOTOCROSS,128,0.1273408
638579,RODOVA Av 40 1724 RAMAaL ITUdUMA,25,635992,RAMAL ADOLFO 411 1 KM,1416,0.12830359
638579,RODOVA Av 40 1724 RAMAaL ITUdUMA,25,737063,RAMAL 14 12700 MAMORI,8346,0.1392944
427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,26,427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,2114,7.2010967e-06
427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,26,427323,RUA MAJOR GUAPINDAIA 291 BAIRRO SATELITE,3381,0.006681544
427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,26,428327,RUA MAJOR GUAPINDAIA 268 BAIRRO SATELITE,7681,0.011359195
427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,26,48508,RUA ANITA GARIBALDI 2163 BAIRRO FLORESTA,2422,0.058963664
427356,RUA MAJOR GUAPINDAIA 715 BAIRRO SATELITE,26,405181,RUA LIRIO 2167 BAIRO PRIMAVERA,3626,0.06354113
1023727,RUAi  132 ROGE TEIXEIRA,27,1023727,RUA C 132 JORGE TEIXEIRA,4239,0.06353637
1023727,RUAi  132 ROGE TEIXEIRA,27,597392,RUA Q 429 WILSSON RIBEIRO,1078,0.07547875
1023727,RUAi  132 ROGE TEIXEIRA,27,977486,RUA A 339 JORGE TEIXEIRA,9436,0.076103374
1023727,RUAi  132 ROGE TEIXEIRA,27,767132,RUA ACAI 211 MAE CREUZA,1804,0.08036338
1023727,RUAi  132 ROGE TEIXEIRA,27,798132,RUA ANTONIO RETO 143 IRACY,4880,0.08433694
39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,28,39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,8592,1.5846364e-05
39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,28,1029471,RUA CAPIM SANTO 170 JORGE TEIXEIRA JOAO PAULO,193,0.060289726
39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,28,1132083,RUA JOAO MENDONCA 74 BAIRRO PETROPOLIS,5385,0.067185275
39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,28,656375,RUA SAO PAULO 400 JARDIM PRIMAVERA,1496,0.067510396
39329,RUA PEREIRA MOTA 1947 PLANALTO SAO LUIZ,28,388373,AVENIDA CAPITAO SILVIO 1955 BAIRRO PLANALTO,5543,0.06965935
909319,BEC0 10 DE JLUHO 11 ALVADA,29,909319,BECO 10 DE JULHO 11 ALVORADA,2765,0.08504404
909319,BEC0 10 DE JLUHO 11 ALVADA,29,909648,BECO AJURICABA 38 COMPENSA 1,1376,0.12797987
909319,BEC0 10 DE JLUHO 11 ALVADA,29,104737,BECO 03 62 GUAJARA MIRIM,6661,0.13015735
909319,BEC0 10 DE JLUHO 11 ALVADA,29,919942,BECO FINAL DEZ 5 LIRIO DO VALE,3679,0.13457078
909319,BEC0 10 DE JLUHO 11 ALVADA,29,909388,BECO 18 DE OUTUBRO 24 COMPENSA,8601,0.13995203
71639,RU PAAMA 1622 CENTRO,30,678075,RUA ACURUI 1296 AMATURA,1452,0.107105106
71639,RU PAAMA 1622 CENTRO,30,773445,RUA ANTERO RICA 1679 NOVA HUMAITA,5354,0.11724377
71639,RU PAAMA 1622 CENTRO,30,678848,RUA SOLIMOES 1659 AMATURA,8277,0.11772236
71639,RU PAAMA 1622 CENTRO,30,157899,RUA XAPURI 1236 RIACHUELO,8443,0.123959236
71639,RU PAAMA 1622 CENTRO,30,728786,RIO PURUS 1 MONTE CIAO,9640,0.12645268
286354,RUA MUNIQUE 3198 CIDADENOVA,31,286354,RUA MUNIQUE 3198 CIDADE NOVA,3086,0.036178507
286354,RUA MUNIQUE 3198 CIDADENOVA,31,265907,RUA IMBITUBA 3293 CALADINHO,8404,0.05192668
286354,RUA MUNIQUE 3198 CIDADENOVA,31,837619,RUA LARANJAL 1134 CORRENTEZA,8274,0.055797435
286354,RUA MUNIQUE 3198 CIDADENOVA,31,240809,RUA CARMELIAS 6561 ELDORADO,6724,0.05698154
286354,RUA MUNIQUE 3198 CIDADENOVA,31,227574,RUA ANCHIETA 2080 MARIANA,6797,0.05967351
975792,RUA 9 407 LVORADA,32,975792,RUA 9 407 ALVORADA,3508,0.014458191
975792,RUA 9 407 LVORADA,32,975796,RUA 9 413 ALVORADA,7091,0.03195154
975792,RUA 9 407 LVORADA,32,975870,RUA 9 458 ALVORADA,2053,0.031963915
975792,RUA 9 407 LVORADA,32,953329,RUA 15 377 ALVORADA,4968,0.034812838
975792,RUA 9 407 LVORADA,32,973791,RUA 7 401 ALVORADA,962,0.03793224
1000406,,33,469309,LINHA 66 230 None,2285,0.433128
1000406,,33,120745,LINHA 627 941 None,7835,0.47131336
1000406,,33,164312,LINHA 208 7 None,4387,0.48137423
1000406,,33,330648,RUA 8 40 None,7188,0.48229045
1000406,,33,404423,LINHA LC85 102 LC85,7660,0.48607478
598228,RUA RADIO AFdOL 535 qGLROIA,34,330465,RUA 57A 8 NOVA MUTUM,6347,0.11470981
598228,RUA RADIO AFdOL 535 qGLROIA,34,330479,RUA 59A 2 NOVA MUTUM,2413,0.11651496
598228,RUA RADIO AFdOL 535 qGLROIA,34,678848,RUA SOLIMOES 1659 AMATURA,8277,0.11931904
598228,RUA RADIO AFdOL 535 qGLROIA,34,226878,RUA ANARI 558 B FLORESTA,4119,0.12304987
598228,RUA RADIO AFdOL 535 qGLROIA,34,143208,RUA IPE 2655 VALPARAISO,5416,0.12528366
104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,35,104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,5206,4.6636333e-06
104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,35,104314,AVENIDA PRINCESA ISABEL 1702 GUAJARA MIRIM,3230,0.009555442
104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,35,104274,AVENIDA PRINCESA ISABEL 1231 GUAJARA MIRIM,2185,0.009580306
104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,35,104558,AVENIDA PRINCESA ISABEL 5150 GUAJARA MIRIM,8117,0.011749441
104502,AVENIDA PRINCESA ISABEL 4617 GUAJARA MIRIM,35,104426,AVENIDA PRINCESA ISABEL 3812 GUAJARA MIRIM,7998,0.013378894
151929,RUw RIO GRANDE DO USL 3411 BOA ESPERANCA,36,151929,RUA RIO GRANDE DO SUL 3411 BOA ESPERANCA,2737,0.10744877
151929,RUw RIO GRANDE DO USL 3411 BOA ESPERANCA,36,151938,RUA RIO GRANDE DO SUL 3484 BOA ESPERANCA,333,0.10909964
151929,RUw RIO GRANDE DO USL 3411 BOA ESPERANCA,36,766241,RIO ITUCUMA 11 NOVA ESPERANCA,705,0.1107552
151929,RUw RIO GRANDE DO USL 3411 BOA ESPERANCA,36,638407,RIO RIOZINHO DO ROLA 12 SEM,2818,0.124647245
151929,RUw RIO GRANDE DO USL 3411 BOA ESPERANCA,36,828844,RIO PURUS 1 SANTA CRUZ DO PASSIA,5837,0.13121362
459327,LINHA  38 PORTO MURTINHO,37,459327,LINHA 02 38 PORTO MURTINHO,6004,0.013533197
459327,LINHA  38 PORTO MURTINHO,37,459335,LINHA 02 52 PORTO MURTINHO,5953,0.026686043
459327,LINHA  38 PORTO MURTINHO,37,459367,LINHA 02 102 PORTO MURTINHO,6550,0.035259116
459327,LINHA  38 PORTO MURTINHO,37,459604,LINHA 04 B 72 PORTO MURTINHO,2770,0.03744352
459327,LINHA  38 PORTO MURTINHO,37,6607,LINHA P 42 40 RIO BRANCO,3652,0.074392736
12285,RUA 1089 SERO 02,38,372590,RUA 1205 584 SETOR 12,8743,0.13466486
12285,RUA 1089 SERO 02,38,405112,RUA H 3782 ALORADA,6270,0.14598507
12285,RUA 1089 SERO 02,38,594394,RUA PERU 282 HABITASA,9693,0.15077874
12285,RUA 1089 SERO 02,38,110294,RUA CEARA 3648 SETOR 5,2055,0.15121368
12285,RUA 1089 SERO 02,38,114699,RUA PARA 1759 SETOR 04,5700,0.15434064
914475,BECO 308 JAPjMI,39,922415,BECO JUPIS 60 JAPIIM,2590,0.11957559
914475,BECO 308 JAPjMI,39,914475,BECO CABRAL 308 JAPIIM,3578,0.12196262
914475,BECO 308 JAPjMI,39,925139,BECO PARA 8 JAPIIM,6393,0.13983712
914475,BECO 308 JAPjMI,39,914361,BECO CABRAL 25 JAPIIM,2401,0.14901711
914475,BECO 308 JAPjMI,39,919537,BECO ESPERANCA 19 JAPIIM,2023,0.15140724
875955,AENIDA AVENIDA GRANDE CIRCULAR 366 JORhE TEIXEIRAa COMUNIDADE CIDADE DE DEU,40,875955,AVENIDA GRANDE CIRCULAR 366 JORGE TEIXEIRA COMUNIDADE CIDADE DE DEU,4418,0.03760488
875955,AENIDA AVENIDA GRANDE CIRCULAR 366 JORhE TEIXEIRAa COMUNIDADE CIDADE DE DEU,40,856090,AVENIDA AUTAZ MIRIM ANTIGA GRANDE CIRCULAR 11045 JORGE TEIXEIRA COMUNIDADE CIDADE DE DEU,8859,0.06202145
875955,AENIDA AVENIDA GRANDE CIRCULAR 366 JORhE TEIXEIRAa COMUNIDADE CIDADE DE DEU,40,1017488,RUA BOCA DO ACRE 181 TANCREDO NEVES COMUNIDADE NOVA CONQUIST,7705,0.06950652
875955,AENIDA AVENIDA GRANDE CIRCULAR 366 JORhE TEIXEIRAa COMUNIDADE CIDADE DE DEU,40,1128247,RUA JARDIM PRIMAVERA 95 TARUMA COMUNIDADE SAO PEDRO,695,0.08450557
875955,AENIDA AVENIDA GRANDE CIRCULAR 366 JORhE TEIXEIRAa COMUNIDADE CIDADE DE DEU,40,990776,RUA AMBE 102 JORGE TEIXEIRA COMUNIDADE VAL PARAISO,6522,0.088525556
289872,RUA PADRE MESSIAS 2288 FLODOALDO PONTES,41,289872,RUA PADRE MESSIAS 2288 FLODOALDO PONTES PINTO,1603,0.0159662
289872,RUA PADRE MESSIAS 2288 FLODOALDO PONTES,41,289876,RUA PADRE MESSIAS 2319 FLODOALDO PONTES PINTO,2720,0.030993816
