uf_x,municipio_x,logradouro_x,numero_x,complemento_x,localidade_x,setor_censitario_x,id_lt_x,uf_y,municipio_y,logradouro_y,numero_y,complemento_y,localidade_y,cep,setor_censitario_y,id_lt_y
24,13607,VILA IPOEIRA,190.0,,IPOEIRA,241360705000003,22,29,14000,FAZENDA PONTA BAIXA,6,,IPIRA,44600000.0,291400005000047,2253344
26,14501,AVENIDA AMARILDA ARRUDA GUERRA,45.0,,COQUEIRO,261450105000022,23,29,20601,AVENIDA COQUEIROS,14,,COQUEIROS,44430000.0,292060110000006,3332738
25,6400,POVOADO DE BOQUEIRAO,16.0,,BOQUEIRAO,250640005000010,24,29,6709,POVOADO BOQUEIRAO,0,,BOQUEIRAO,45157000.0,290670915000004,1012076
29,14604,AVENIDA CARAIBAS,120.0,ANDAR 1 TERREO,IRECE,291460405000001,25,29,14604,AVENIDA CARAIBAS,120,ANDAR 1 TERREO,IRECE,44900000.0,291460405000001,2309485
29,28950,PRACA IZAQUE PINHEIRO,120.0,ANDAR 1,CENTRO,292895005000003,26,29,28950,PRACA IZAQUE PINHEIRO,120,ANDAR 1,CENTRO,48895000.0,292895005000003,5570971
29,18001,RUA ADEMAR DE BARROS,1.0,,KILOMETRO 3,291800105000084,27,29,18001,RUA ADEMAR DE BARROS,0,,KM 3,45200000.0,291800105000084,2863648
29,5701,AVENIDA INDUSTRIAL URBANA,44.0,CASA,PONTO CERTO,290570105000142,28,29,5701,AVENIDA INDUSTRIAL URBANA,432,CASA,PONTO CERTO,42800000.0,290570105000142,767253
27,6307,RUA MIGUEL MONTEIRO,110.0,,CENTRO,270630705000001,29,29,10701,RUA PEDRO MONTEIRO CAMPOS,0,,CENTRO,48500000.0,291070105000036,1525430
23,11603,RUA TEREZA CRISTINA,404.0,,CENTRO,231160315000004,30,28,4508,RUA ANA MARIA BEZERRA,404,,CENTRO,49680000.0,280450805000006,7050403
27,4302,RUA GENERAL HERMES,1240.0,,BOM PARTO,270430205090014,31,29,14703,RUA HERMES BASTOS,38,,URBIS,46880000.0,291470305000027,2358108
23,5407,TRAVESSA CHICO ALFREDO,455.0,,CENTRO,230540705000005,32,28,6909,TRAVESSA ALFREDO HORA,10,,CENTRO,49945000.0,280690905000002,7290829
23,7007,SITIO FIGUEREDO DO EPIFANIO,3.0,CASA 3,FIGUEREDO,230700705000029,33,29,24009,PROJETO ESERANCA,3,CASA 1,PAULO AFONSO,48570.0,292400905000108,3783107
21,9106,POVOADO FIRMINO,53.0,,PRESIDENTE DUTRA,210910605000042,34,28,5901,RUA PRESIDENTE EURICO DUTRA,43,,CENTRO,49130000.0,280590105000007,7215680
26,16407,RUA ANDRE VIDAL DE NEGREIROS,224.0,,CENTRO,261640705000001,35,29,19108,RUA ANDRE NEGREIROS FALCAO,0,,CENTRO,48720000.0,291910805000016,3078238
26,13404,RODOVIA PE 60,,BLOCO B ANDAR 1 APARTAMENTO 206,CENTRO,261340405000010,36,29,22201,ACESSO A RODOVIA BA 245,44,,CENTRO,44575000.0,292220105000010,3536971
21,5302,RUA PIAUI,630.0,,CENTRO,210530205000001,37,29,10503,RUA PIAUI,0,,CENTRO,48180000.0,291050305000009,1484264
23,4400,RUA FELINO BARROSO,801.0,,FATIMA,230440005080176,38,29,15601,RUA ALMIRANTE BARROSO,0,,FATIMA,45836000.0,291560105000120,2549456
29,9802,POVOADO COMBE,4501.0,,COMBE,290980205000056,39,29,9802,POVOADO COMBE,4501,,COMBE,44380000.0,290980205000056,1401210
29,25808,COMUNIDADE DE LAGOINHA,,,LAGOINHA,292580805000013,40,29,25808,COMUNIDADE DE LAGOINHA,0,,LAGOINHA,48860000.0,292580805000013,4056080
29,3201,RUA CAPITAO MANOEL MIRANDA,906.0,,SANDRA REGINA,290320105000016,41,29,3201,RUA CAPITAO MANOEL MIRANDA,906,,SANDRA REGINA,47800000.0,290320105000016,373629
29,33307,AVENIDA OTAVIO SANTOS,261.0,,RECREIO,293330705000048,42,29,33307,AVENIDA OTAVIO SANTOS,0,,RECREIO,45020750.0,293330705000198,6370701
29,19959,FAZENDA JUREMAL,,CAIS,JUREMAL,291995905000010,43,29,19959,FAZENDA JUREMAL,9,,JUREMAL,46255000.0,291995905000011,3269184
21,436,RUA SAO FRANCISCO,126.0,,TUCUM,210043605000004,44,28,6701,RUA SAO FRANCISCO,0,,TIJUQUINHA,49100000.0,280670105000038,7263051
26,9402,RUA ADAUTO BARBOSA DE SOUZA,115.0,,LIBERDADE,260940205000055,45,29,19207,RUA LIDIA CELESTINO DE SOUZA,0,,ITINGA,42700000.0,291920705000031,3104216
29,17508,PRACA CASTRO ALVES,44.0,PREDIO,JACOBINA,291750805000011,46,29,17508,PRACA CASTRO ALVES,44,PREDIO,JACOBINA,44700000.0,291750805000011,2749382
29,9406,TRAVESSA BARAO DO RIO BRANCO,27.0,COMODO,COTEGIPE,290940605000001,47,29,9406,TRAVESSA BARAO DO RIO BRANCO,0,COMODO,COTEGIPE,47900000.0,290940605000001,1353129
29,27408,RUA FORTE DE SAO PEDRO,66.0,ANDAR 3 APARTAMENTO 309,CAMPO GRANDE,292740805270094,48,29,27408,RUA FORTE DE SAO PEDRO,66,EDIFICIO ANDAR 3 APARTAMENTO 302,CAMPO GRANDE,40080016.0,292740805270094,5307160
26,4106,RUA VISCONDE INHAUMA,1412.0,,MAURICIO NASSAU,260410605000266,49,29,27408,RUA NASSAU,33,,PARIPE,40810460.0,292740805130153,4587884
29,19207,RUA PRAIA DE PAJUSSARA,,15 LOTE 17,VILAS ATLANTICO,291920705000075,50,29,19207,RUA PRAIA DE PAJUSSARA,66,LOTE 28,VILAS DO ATLANTICO,42700000.0,291920705000075,3121913
25,7507,AVENIDA FRANCISCA MOURA,153.0,ANDAR 3 APARTAMENTO 301,CENTRO,250750705000147,51,29,7558,AVENIDA LAURINDA CARDOSO,450,FUNDOS,CENTRO,46575000.0,290755805000016,1162535
23,4400,AVENIDA DO IMPERADOR,373.0,,CENTRO,230440005080073,52,29,13903,AVENIDA DO CONTORNO,432,,CENTRO,45570000.0,291390305000053,2234262
29,32457,PRACA FORISVALDO CARNEIRO DA CUNHA,,,UMBURANAS,293245705000002,53,29,32457,PRACA FORISVALDO CARNEIRO DA CUNHA,1012,,UMBURANAS,44798000.0,293245705000002,6142284
26,1904,RUA SEVERINO FELIX,261.0,,SAO SEBASTIAO,260190405000023,54,29,13903,PRACA AMANCIO FELIX,1891,,SAO JOSE OPERARIO,45570000.0,291390305000025,2227702
29,10057,RUA VEREADOR ENEAS LISBOA,33.0,TERREO,CENTRO,291005705000101,55,29,10057,RUA VEREADOR ENEAS LISBOA,33,TERREO,CENTRO,42850000.0,291005705000101,1456328
27,4302,AVENIDA JOAO DAVINO,959.0,,JATIUCA,270430205060099,56,29,4605,AVENIDA JOAO PAULO I,962,,PARQUE ALVORADA,46100000.0,290460505000023,577216
28,5307,AVENIDA ATLANTICA,69.0,,CENTRO,280530705000005,57,28,5307,AVENIDA ATLANTICA,1073,,CENTRO,49190000.0,280530705000005,7152487
23,1901,AVENIDA PAULO MAURICIO,61.0,,NOSSA SENHORA FATIMA,230190105000010,58,29,18407,RUA NOSSA SENHORA DE FATIMA,73,,ALTO DO CRUZEIRO,48900000.0,291840705000033,2955572
29,5206,RUA BARAO DE CAETITE,519.0,TERREO,CENTRO,290520605000038,59,29,5206,RUA BARAO DE CAETITE,519,FUNDOS TERREO,CENTRO,46400000.0,290520605000038,676412
23,10258,AVENIDA MARIA MOREIRA,377.0,,,231025805000008,60,29,27408,AVENIDA ADRIANA,13,,,0.0,292740805070082,4395065
29,16005,RUA AFONSO PENA,186.0,,CENTRO,291600505000012,61,29,16005,RUA AFONSO PENA,0,,CENTRO,45970000.0,291600505000005,2570400
25,7309,RUA PRESIDENTE JOAO PESSOA,,,NOVA JACARAU,250730905000005,62,29,16005,RUA PRESIDENTE COSTA E SILVA,78,,SAO JOAO,45970000.0,291600505000008,2571625
23,6900,FAZENDA VARZEA DO JUAZEIRO,3.0,CASA,VARZEA JUAZEIRO,230690005000023,63,29,33059,FAZENDA VARZEA DA ROCA 3,0,CASA,VARZEA DA ROCA,44635000.0,293305905000013,6249703
26,7901,RUA CENTRAL,410.0,,CAJUEIRO SECO,260790105000315,64,28,2601,RUA CAJUEIRO,79,,CENTRO,49860000.0,280260105000011,6856309
29,25303,RUA 15 DE NOVEMBRO,192.0,CASA 4 FUNDOS,PACATA,292530305000009,65,29,25303,RUA 15 DE NOVEMBRO,192,CASA 3 FUNDOS,PACATA,45810000.0,292530305000009,3942237
23,1901,AVENIDA COSTA CAVALCANTE,81.0,,CENTRO,230190105000039,66,29,20304,RUA COSTA E SILVA,104,,CENTRO,46110000.0,292030405000012,3297627
29,25006,RUA ALOISIO LACERDA,280.0,,SENHOR BOMFIM,292500605000009,67,29,25006,RUA ALOISIO LACERDA,280,,SENHOR DO BOMFIM,45190000.0,292500605000009,3888612
26,3306,SITIO OLHO DAGUA VELHO,,,OLHO DAGUA VELHO,260330605000011,68,29,25105,REGIAO OLHO DAGUA,26,,OLHO DAGUA,45260000.0,292510505000030,3906139
23,4400,RUA MAJOR FACUNDO,1840.0,FRENTE TERREO,CENTRO,230440005080007,69,29,21500,RUA XV DE NOVEMBRO,26,TERREO,CENTRO,48800000.0,292150005000001,3433390
27,5606,FAZENDA BELO HORIZONTE,123.0,,BELO HORIZONTE,270560605000005,70,29,13903,FAZENDA BELO HORIZONTE,0,,FAZENDA BELO HORIZONTE,45570000.0,291390305000041,2231907
29,405,POVOADO CURRAL DE FORA,6.0,,CURRAL FORA,290040510000003,71,29,405,POVOADO CURRAL DE FORA,6,,CURRAL DE FORA,48175000.0,290040510000003,34356
29,23209,RUA JOSE MENDONCA DO VALE,1958.0,,CENTRO,292320905000002,72,29,23209,RUA JOSE MENDONCA DO VALE,1958,,CENTRO,47530000.0,292320905000002,3671896
26,6002,AVENIDA GONCALVES MAIA,230.0,SALA 4,HELIOPOLIS,260600205000028,73,29,27408,RUA HELIO CARDINS,25,TERREO,NOVA SUSSUARANA,41215270.0,292740805180507,4842185
29,24504,FAZENDA TABUA,40.0,,TABUA,292450405000014,74,29,24504,FAZENDA TABUA 2,5,,TABUA 2,46360000.0,292450410000010,3845176
26,11606,RUA REAL DA TORRE,898.0,SOBRADO 2,MADALENA,261160605210257,75,29,13606,RUA DA GLORIA,830,SOBRADO,MALHADO,45651780.0,291360605000067,2130884
26,13909,QUADRA A,1.0,CASA,CAGEPE,261390905000034,76,29,27408,RUA 4 QUADRA F,1,CASA,SETE DE ABRIL,41000000.0,292740805180190,4748253
25,9008,AVENIDA MARIA ALVES BARBOSA,5.0,,CENTRO,250900805000012,77,29,29750,PRACA MARIA EUGENIA BARBOSA,0,,CENTRO,44220000.0,292975005000005,5686768
25,9206,SITIO CAFULA,118.0,,CAFULA,250920605000014,78,29,12509,SITIO CAITITU,0,,CAITITU,4650000.0,291250905000016,2023166
29,27408,AVENIDA LAURINDO REGIS,360.0,BLOCO 12D APARTAMENTO 441,ENGENHO VELHO BROTAS,292740805070042,79,29,27408,AVENIDA LAURINDO REGIS,360,BLOCO 12D APARTAMENTO 441,ENGENHO VELHO DE BROTAS,40240550.0,292740805070042,4382757
23,5308,RUA JOAO SABINO,65.0,,JOSE AVELINO PORTELA,230530805000005,80,29,6303,RUA JOSE NASCIMENTO,58,,JOAO FONFON,45860000.0,290630305000035,951094
25,6400,POVOADO DE BOQUEIRAO,16.0,,BOQUEIRAO,250640005000010,81,29,6709,POVOADO BOQUEIRAO,0,,BOQUEIRAO,45157000.0,290670915000004,1012076
28,308,RUA CAMPOS,394.0,,SAO JOSE,280030805000018,82,28,308,RUA CAMPOS,394,,SAO JOSE,49015220.0,280030805000018,6491281
29,3201,RUA VASCO DA GAMA,826.0,,SANTA LUCIA,290320105000145,83,29,3201,RUA VASCO DA GAMA,827,,PARQUE SANTA LUCIA,47804050.0,290320105000145,421334
29,14802,AVENIDA AZIZ MARON,330.0,SOBRADO,VITORIA,291480205000163,84,29,14802,AVENIDA AZIZ MARON,330,SOBRADO,JARDIM VITORIA,45600000.0,291480205000163,2437404
27,3601,RUA NOSSA SENHORA DA PENHA,91.0,,BARREIRAS BOQUEIRAO,270360105000008,85,29,18407,RUA DAS FIGUEIRAS,167,,BAIRRO NOSSA SENHORA DA PENHA,48900000.0,291840705000140,2998374
22,11001,RUA OLAVO BILAC,2300.0,,CENTRO,221100105060002,86,29,11709,RUA OLAVO BILAC,0,,CENTRO,46430000.0,291170905000002,1905529
23,4400,RUA WALTER CASTRO,558.0,,CIDADE FUNCIONARIOS,230440065090358,87,29,6006,RUA CASTRO ALVES,45,,POCOS,44790000.0,290600605000063,907228
23,4400,RUA REPUBLICA DO LIBANO,625.0,,MEIRELES,230440005120377,88,29,27408,RUA GENGIBIRRA DO MEIO,0,,LIBERDADE,40370600.0,292740805210187,4937179
26,13909,FAZENDA RIACHO DO BODE,,ARMAZEM,RIACHO BODE,261390905000055,89,29,31905,FAZENDA RIACHO DO BOI,26,,FAZENDA RIACHO DO BOI,48790000.0,293190505000039,6075846
21,6326,POVOADO CASULO,51.0,CASA,CASULO,210632605000016,90,29,18100,POVOADO CASINHAS,21,CASA,CASINHAS,48540000.0,291810005000064,2916907
21,12803,ESTRADA LARANJAL,,,LARANJAL,211280305000029,91,29,4100,ESTRADA LARANJAL,1,,LARANJAL,46530000.0,290410005000018,535928
24,12708,POVOADO TELHA,6.0,,TELHA,241270805000004,92,29,23704,POVOADO TELHA,8,,TELHA,47500000.0,292370405000011,3723724
29,21401,POVOADO MANGABEIRA,49.0,CASA,MANGABEIRA MIRANGABA,292140105000011,93,29,21401,POVOADO MANGABEIRA,49,CASA,POVOADO MANGABEIRA MIRANGABA,44745.0,292140105000011,3422384
23,6900,RUA SAVINO BARREIRA,104.0,CASA,CENTRO,230690005000002,94,29,9604,RUA BARREIRAS,834,CASA,CENTRO,48480000.0,290960405000023,1371521
26,11606,RUA GENERAL JOAQUIM INACIO,170.0,ANDAR 1 APARTAMENTO 4,BOA VISTA,261160605180009,95,29,19504,RUA JOAQUIM MANUEL ALVAS,162,ANDAR 1 APARTAMENTO 1,TAQUARI,46140000.0,291950405000009,3176464
24,8102,AVENIDA LIMA E SILVA,966.0,,NOSSA SENHORA NAZARE,240810205090232,96,29,27408,RUA LIMA E SILVA,24,,NOVA SUSSUARANA,41215140.0,292740805180275,4774211
26,3207,SITIO VARZEA DOS BOIS,46.0,,CAETES,260320705000021,97,29,26400,FAZENDA VARGEM DO SITIO NOVO,0,,VARGEM DO SITIO NOVO,46470000.0,292640005000024,4151672
26,11200,SITIO DESERTO,,,POCAO,261120010000002,98,29,26202,POVOADO DESERTO,26,,DESERTO,47980000.0,292620210000008,4125279
28,308,RUA PADRE NESTOR SAMPAIO,115.0,BLOCO C APARTAMENTO 303,LUZIA,280030805000536,99,28,308,RUA PADRE NESTOR SAMPAIO,115,BLOCO c APARTAMENTO 304,LUZIA,49045000.0,280030805000536,6653470
23,4400,RUA FLORIANO PEIXOTO,1154.0,CASA 6,CENTRO,230440005080084,100,28,4508,RUA FLORIANO PEIXOTO,0,CASA 1,CENTRO,49680000.0,280450805000001,7048535
21,1731,POVOADO MENDES,,,MENDES,210173105000003,101,29,16856,POVOADO MENDES,30,,MENDES,46875000.0,291685605000014,2669240
23,7304,RUA SAO PEDRO,1250.0,,SALESIANOS,230730405000001,102,28,7303,RUA F,1120,,POVOADO SAO PEDRO,49910000.0,280730305000005,7317023
29,23001,RUA PERUIPE,16.0,,CENTRO,292300105000003,103,29,23001,RUA PERUIPE,0,,CENTRO,45920000.0,292300105000003,3631602
26,2100,RUA SETE DE SETEMBRO,29.0,TERREO,CENTRO,260210005000035,104,29,28000,RUA SETE DE SETEMBRO,25,TERREO,CENTRO,48880000.0,292800005000007,5397131
21,11003,POVOADO NOVA IORQUE,,,SAO JOAO BATISTA,211100305000020,105,28,3302,PRACA SAO JOAO BATISTA,0,,MUNDO NOVO,49960000.0,280330205000011,6939772
25,7804,AVENIDA BALDUINO GUEDES,27.0,,CENTRO,250780405000003,106,28,670,AVENIDA DJENAL TAVARES DE QUEIROS,252,,CENTRO,49360000.0,280067005000002,6734660
27,6406,RUA POVOADO MACHADO,10.0,,COHAB,270640605000003,107,28,7105,RUA B,0,,POVOADO BONSUCESSO,49480000.0,280710505000060,7310353
23,12205,RUA JOSE MARIA CATUNDA,139.0,,PLANALTO PIRACICABA,231220505000009,108,29,17334,RUA JOSE RAIMUNDO,1449,,PLANALTINA,46438000.0,291733405000018,2731881
25,8208,RUA SAO SEBASTIAO,25.0,,CENTRO,250820805000003,109,29,7558,RUA SAO SEBASTIAO,0,,CENTRO,46575000.0,290755805000002,1159152
25,12762,SITIO VARZEA REDONDA,22.0,CASA 1 ANEXO,VARZEA REDONDA,251276205000002,110,29,26707,VARZEA REDONDA,25,CASA,VARZEA REDONDA,46170000.0,292670715000005,4199001
28,4508,AVENIDA LOURIVAL BATISTA,729.0,,DIVINEIA,280450805000016,111,28,4508,AVENIDA LOURIVAL BATISTA,729,,DIVINEIA,49680000.0,280450805000016,7053234
23,4202,RUA SENADOR POMPEU,462.0,,CENTRO,230420205000094,112,29,10602,RUA DO OPERARIO,431,,CENTRO,48370000.0,291060205000027,1507214
26,10004,AVENIDA JOSE AMERICO DE MIRANDA,1836.0,,PALMARES,261000405000030,113,29,1007,PRACA JOSE DANTAS DE MIRANDA,2426,,AMARGOSA,45300000.0,290100705000001,118193
21,12209,RUA SEIS,1012.0,,ANGELICA,211220905000149,114,29,8002,RUA JOANA ANGELICA,0,,COARACI,45638000.0,290800205000021,1206540
26,3801,SITIO SITIO PIADO,,CASA DIRETO,PIADO,260380105000034,115,29,3805,SITIO PIABA,24,CASA,,46850000.0,290380505000013,483817
21,2754,RODOVIA BR 135,,,PATROCINIO,210275405000007,116,28,3708,RODOVIA BR 170,621,,BARRO PRETO,49565000.0,280370805000016,7006888
26,5301,SERRA DO ZE GOMES,9.0,,SERRA ZE GOMES,260530125000002,117,29,24058,FAZENDA ZINFIRINA,0,,PE DE SERRA,44655000.0,292405805000022,3803241
23,3709,RUA JERONIMO AMARAL,215.0,,CENTRO,230370905000161,118,29,21807,RUA GALDINO AMARAL,1412,,CENTRO,46290000.0,292180705000022,3492375
25,7309,RUA PRESIDENTE JOAO PESSOA,45.0,FRENTE,CENTRO,250730905000001,119,29,21005,RUA JOAO PESSOA,57,FUNDOS,CENTRO,48280000.0,292100505000002,3366101
25,12507,AVENIDA SEVERINO BEZERRA CABRAL,268.0,,,251250705000011,120,29,24058,SITIO CIENCIA,0,,CIENCIA,44655000.0,292405805000011,3800517
28,1306,RODOVIA MANOEL DANTAS,1388.0,,PEDRAS,280130605000027,121,28,1306,RODOVIA MANOEL DANTAS,0,,POVOADO PEDRAS,49700.0,280130605000027,6775546
21,4206,PRACA DA MATRIZ,6.0,,CENTRO,210420605000010,122,28,3807,PRACA DA MATRIZ,204,,CENTRO,49940000.0,280380705000001,7007040
29,14000,RUA PROJETADA,,SOBRADO,JAGUARAO,291400005000069,123,29,14000,RUA PROJETADA,0,SOBRADO,JAGUARAO,44600000.0,291400005000069,2259701
27,4302,AVENIDA DA PAZ,1024.0,,MACEIO,270430205060038,124,29,27408,AVENIDA PARALELA,0,,BAIRRO DA PAZ,41515000.0,292740805090054,4477722
25,7507,RUA MELVIN JONES,109.0,,MANDACARU,250750705000302,125,29,26301,RUA B,49,,MANDACARU,44640000.0,292630105000032,4138509
22,8007,RUA MONSENHOR HIPOLITO,,APARTAMENTO 203 ANDAR 2,CANTO VARZEA,220800705000085,126,29,13606,RUA MONSENHOR EVARISTO,220,,CONQUISTA,45650060.0,291360605000013,2114665
21,4057,RUA BANDEIRANTES,369.0,,BANDEIRANTE,210405705000009,127,29,33604,RUA BANDEIRANTES,418,,BNH,47400000.0,293360405000045,6468440
23,1901,AVENIDA CORONEL JOAO COELHO,169.0,TERREO 10,CENTRO,230190105000003,128,29,19504,RUA JOAO CORREIA E SILVA,1132,TERREO,CENTRO,46140000.0,291950405000004,3174281
28,308,RUA CORONEL STANLEY SILVEIRA,,,SAO JOSE,280030805000023,129,28,308,RUA CORONEL STANLEY SILVEIRA,440,,SAO JOSE,49015400.0,280030805000023,6493251
24,8102,TRAVESSA CORONEL AURIS COELHO,91.0,,NOVA DESCOBERTA,240810205070037,130,29,27408,TRAVESSA DIONISIO CORREIA,0,,NOVA SUSSUARANA,41217040.0,292740805180292,4780317
29,27408,RUA EDISTIO PONDE,353.0,,STIEP,292740805060345,131,29,27408,RUA EDISTIO PONDE,342,,STIEP,41760000.0,292740805060336,4351165
21,3000,RUA TEOFILO DIAS,1247.0,,CENTRO,210300005000001,132,29,28000,RUA SALUSTINO DIAS,0,,CENTRO,48880000.0,292800005000012,5398642
23,10308,POVOADO SERRA FECHADA,5.0,CASA C6,PARAMBU,231030805000013,133,29,23506,POVOADO SERRADOR,7,CASA C1,PECUARIA,46930000.0,292350605000005,3708792
26,11606,AVENIDA RECIFE,3856.0,MODULO 6 APARTAMENTO 124,AREIAS,261160605220254,134,29,13606,AVENIDA SOARES LOPES,0,ANDAR 6 APARTAMENTO 604,CIDADE NOVA,45653005.0,291360605000074,2133557
26,13206,RUA AUGUSTO PEIXOTO,101.0,,ALVORADA,261320605000034,135,29,13804,RUA AUGUSTO COELHO,16,,SEDE,44680000.0,291380405000001,2213260
29,17508,RUA MELCHIOR DIAS,9.0,,CENTRO,291750805000002,136,29,17508,RUA MELCHIOR DIAS,9,,CENTRO,44700000.0,291750805000002,2746689
21,3505,RUA BURITI BRAVO,35.0,,GUANABARA,210350505000008,137,29,32408,RUA GUANABARA,37,,HIDROLANDIA,44950000.0,293240810000001,6140431
29,24009,RUA NOE PIRES DE CARVALHO,20.0,,CENTRO,292400905000033,138,29,24009,RUA NOE PIRES DE CARVALHO,0,,CENTRO,48602120.0,292400905000033,3762958
26,8909,RUA SAO SEBASTIAO,872.0,,ALTO SAO SEBASTIAO,260890905000030,139,29,24504,RUA SAO SEBASTIAO,87,,BAIRRO SAO SEBASTIAO,46360000.0,292450410000001,3842883
23,4400,RUA CAPITAO MELO,3566.0,,TAUAPE,230440005080458,140,28,4805,RUA 23,0,,COMPLEXO TAICOCA,49160000.0,280480505000067,7098815
26,3405,RUA JOAO AGOSTINHO DE LIMA,,CASA,JOSE SILVINO SIQUEIRA,260340505000013,141,29,2104,RUA JOSE JULIAO,26,CASA,JOAO VIEIRA,48760000.0,290210405000032,251179
26,3306,ESTRADA SITIO DO MEIO,,,MEIO,260330605000009,142,29,24405,ESTRADA SITIO DO MEIO,1,,SITIO DO MEIO,47240000.0,292440505000019,3828585
29,27408,ESTRADA DO MANDU,487.0,BLOCO 11 APARTAMENTO 803,SAO RAFAEL,292740805180242,143,29,27408,ESTRADA DO MANDU,487,BLOCO 11 APARTAMENTO 1.002,SAO RAFAEL,41250579.0,292740805180242,4764994
29,9802,RUA MATA PEREIRA,413.0,,CRUZ ALMAS,290980205000071,144,29,9802,RUA MATA PEREIRA,445,,CRUZ DAS ALMAS,44380000.0,290980205000071,1404959
29,33158,POVOADO SALINAS,44.0,,VARZEA NOVA,293315805000018,145,29,33158,POVOADO SALINAS,44,,VARZEA NOVA,44690000.0,293315805000018,6265429
