id,endereco
373154,RUA 2207 6051 ALTO ALEGRE OU SETOR 22
446192,RUA MARECHAL RONDON 2406 CENTRO
415328,ESTRADA C 42 28 PA RIO ALTO
565120,RUA DAMA DA NOITE 773 TROPICAL
701241,BECO 5 DE SETEMBRO 103 JAVARIZINHO
780250,RIO MADEIRA 3 ALEGRIA
468238,RUA MARIO NEY NUNES 1699 NOVO HORIZONTE
821941,AVENIDA GETULIO VARGAS 490 CENTRO
19490,RUA FORTALEZA 2083 SETOR 3
1114014,RUA HUMBERTO DE CAMPOS 215 SAO JORGE
435665,RUA PAPAGAIO 3049 SETOR 05
626273,TRAVESSA FORTALEZA 56 TANCREDO NEVES
622055,TRAVESSA BENJAMIM 110 BAIRRO SANTA HELENA
212962,AVENIDA RIO DE JANEIRO 4765 AGENOR M DE CARVALHO
649328,ESTRADA BR 317 24 BR 364
747871,RUA LUCIA RODRIGUES DA SILVA 185 URUCU
346293,AVENIDA NORTE SUL 4321 CENTRO
643474,RAMAL PARANA DOS MOURAS 74 LUZEIRO2
174508,LINHA MA 28 191 MACHADINHO
74906,AVENIDA VILHENA 3108 SANTA LUZIA
718749,AVENIDA SILVERY NERY 8300 CENTRO
243523,RUA CLAUDIO SANTORO 5405 FLODOALDO PONTES PINTO
436638,LINHA B 94 11 LINHA B94
82815,AVENIDA SANTA CRUZ 935 SETOR 0009
448462,RUA CARLOS GOMES 2813 MONTE NEGRO
776538,RUA MANGABEIRAS 2212 SAO SEBASTIAO
479993,RUA RAFAEL MARTINS LEAO 881 CENTRO
866114,AVENIDA CONSTANTINO NERY 2533 SAO GERALDO
20388,RUA GRACILIANO RAMOS 3124 SETOR 06
106518,AVENIDA FRANCISCO VIEIRA DE SOUZA 3960 TARILANDIA
702303,RUA DOZE DE OUTUBRO 63 CENTRO
902320,AVENIDA DESEMBARGADOR JOAO MACHADO 305 ALVORADA
752408,COMUNIDADE NOVO AMAZONAS 15 RIO SOLIMOES
1064637,RUA DAS GRANADAS 43 TANCREDO NEVES
876999,AVENIDA I 15 CIDADE NOVA
1017083,RUA BOA VISTA 10 LIRIO DO VALE
366816,AVENIDA PARANA 1742 ALTO ALEGRE
495363,ESTRADA DO REMANSO 445 REMANSO
87210,RUA DA MATRIZ 2678 CENTRO
1021004,RUA BRASIL 218 REDENCAO
1085844,RUA DOZE 28 NOVO ALEIXO
159273,RUA DOUTOR OSVALDO 140 VILA JOTAO
650502,RAMAL NOVA ALDEIA 206 NOVA UNIAO
44963,AVENIDA PORTO VELHO 2196 CENTRO
387298,ALDEIA TENENTE MARQUES 659 VILHENA
543498,ESTRADA DA SOBRAL 1491 AEROPORTO VELHO
947415,RUA 1 2 CIDADE NOVA
883574,AVENIDA MANOEL BORBA GATO 447 DOM PEDRO 2
287621,RUA NOROESTE 1977 CASTANHEIRA
967981,RUA 4 1152 ALVORADA
214821,AVENIDA SETE DE SETEMBRO 7148 CUNIA
61836,RUA DUQUE DE CAXIAS 1758 CENTRO
841291,RUA VIRGILIO BARROSO ALEXANDRE 1693 SAO JOSE
714175,RUA NOVA 134 PRAIA DO GADO
1150838,RUA MACUCAUAS 260 CIDADE DE DEUS
196196,AVENIDA MARECHAL RONDON 184 JARDIM DAS OLIVEIRAS
742864,RUA AMAZONAS 70 ITAMARATI
868203,AVENIDA CURACAO 12 NOVA CIDADE
1090650,RUA EFESIOS 21 PETROPOLIS
111890,RUA JOAO BATISTA 2204 SETOR4
460546,LINHA LH 06 29 LADO ESQ
897168,AVENIDA TEFE 522 JAPIIM
789229,RUA MARIO ALBERTO DE QUEIROZ 37 MORADA DO SOL
412079,RUA JOSE DE ALENCAR 590 SETOR 07
455964,RUA CINCO 2985 NOVO PARAISO
915255,BECO CENTRAL 18 COLONIA ANTONIO ALEIXO
170367,RUA BEIJAFLOR 4149 BAIRRO BOM FUTURO
530273,RUA JOSE JOAQUIM PEREIRA 1275 OLARIA
71834,RUA PARAIBA 2024 CENTRO
82250,AVENIDA LIMOEIRO 2304 SETOR 0003
473994,LINHA 202 INICIO 24 CRUSAMENTO TRAV 133
534888,IGARAPE CRUZEIRO DO VALE 13 COMUNIDADE ANORATO
1089815,RUA E QUINZE 12 ALVORADA II
998038,RUA ARISTOFANO ANTONY 22 PETROPOLIS
105911,RIO NEGRO SOTERIO 55 GUAJARA MIRIM
544617,ESTRADA DO CALAFATE 3827 CALAFATE
378221,RUA IVAN MAXIMO ALVES OU 844 6708 ALTO ALEGRE
1143346,RUA LEONARDO MALCHER 146 NOSSA SENHORA APARECIDA
962139,RUA 234 22 CIDADE NOVA
585770,RUA MANAUS 124 RESIDENCIAL IOLANDA
805300,RUA QUINTINO BOCAIUVA 2241 BAIRRO CENTRO
213575,AVENIDA RIO MADEIRA 1263 NOVA PORTO VELHO
709499,RUA SAO SEBASTIAO 799 BAIRRO SANTA LUZIA
381753,RUA PERNAMBUCO 1869 PARQUE IND NOVO TEMPO
598237,RUA RADIO FAROL 614 GLORIA
123158,AVENIDA ARACAJU 1295 NOVA BRASILIA
641385,AVENIDA PRESIDENTE VARGAS 523 RODRIGUES ALVES
623384,TRAVESSA CEARA 286 SOBRAL
456020,RUA QUATRO 2994 NOVO PARAISO
489874,RUA SALIM FARHAT 1643 CENTRO
712607,RUA BEIRA RIO 1694 PRAIA DO GADO
1007104,RUA BARBOSA FILHO 138 CIDADE NOVA
1128905,RUA JAURU 21 CIDADE DE DEUS
974760,RUA 8 9 COMPENSA
317254,RUA WANDA ESTEVES 2765 FLODOALDO PONTES PINTO
544677,ESTRADA DO CALAFATE 4048 PORTAL DA AMAZONIA
809309,CIRCULAR MARIA INGLESA 43 VILA DO ENGENHO
498404,RUA DE PERNAMBUCO 1986 TELEGRAFO
367830,AVENIDA ROSA DE SAROM 1769 JARDIM PRIMAVERA
1151275,RUA MAGALHAES 34 MAUAZINHO
458716,RUA PRESIDENTE CASTELO BRANCO 3384 CIDADE BAIXA
152994,RUA RIOZINHO 248 URUPA
391494,LINHA 94 NORTE 26 ZONA RURAL
948841,RUA 10 473 CIDADE NOVA
150080,RUA PARENTINS 914 JARDIM PRESIDENCIAL
118722,RUA GOVERNADOR JORGE TEIXEIRA 1046 SETOR 03
938599,BECO SAO LUIZ 13 ZONA LESTE
515243,AVENIDA PLACIDO DE CASTRO 40 CENTRO
1004841,RUA B 39 889 ALVORADA
1097746,RUA FELISMINO CABRAL DE VASCONCELOS 51 ALVORADA II
668847,RUA PLACIDO DE CASTRO 800 BRAGA SOBRINHO
420879,RUA MONTE NEGRO 1765 SETOR 05
737776,RAMAL SAO JOSE 1200 RAMAL DO SAO JOSE
1099336,RUA FLAVIO COSTA 216 COROADO
758256,RUA CORONEL RODRIGUES DAS NEVES 817 CODAJAS
37296,TRAVESSAO SD B 72 31 RO 257
62205,RUA GENERAL OSORIO 1235 CENTRO
186945,RUA MARIO ANDEEAZZA 509 JARDIM AEROPORTO
1011719,RUA BELEM 28 CIDADE DE DEUS
975715,RUA 9 191 AMAZONINO MENDES
55551,RUA JOSE TOMAZ DE AQUINO 4114 JOSINO BRITO
685860,VICINAL 3 ESTADOS 18 KM 45
157554,RUA VITORIA REGES 1995 NOVO HORIZONTE
608382,RUA VALDOMIRO LOPES 2235 GERALDO FLEMING
1052738,RUA CURITIBA 5 NOVA VITORIA
916242,BECO DA AMIZADE 6 COLONIA ANTONIO ALEIXO
250249,RUA DO SOL 501 FLORESTA
535900,ALAMEDA MANACAIAS 358 CHACARA IPE
675545,BECO SANTA PAZ 19 CENTRO
141751,RUA GOIANIA 3045 NOSSA SENHORA DE FATIMA
988573,RUA AMAZONAS 10 COMPENSA
118944,RUA MARECHAL RONDON 3800 SETOR 02
1126779,RUA JANAUACA 34 SAO JOSE OPERARIO
248332,RUA DAS ROSAS 5889 ZONA SUL
350423,AVENIDA SAO LUIZ 5308 BAIRRO PLANALTO
167763,AVENIDA GETULIO VARGAS 4563 BAIRRO BOM FUTURO
252704,RUA ELIAS GORAYEB 1371 NOSSA SENHORA DAS GRACAS
33759,RUA PRESIDENTE CASTELO BRANCO 2532 NOVA UNIAO 3
917511,BECO DA PRATA 22 JORGE TEIXEIRA
937903,BECO SAO JOSE 332 BETANIA
746202,RUA FRANCISCO SILVA 107 SANTA HELENA
518089,TRAVESSA ANTONIO BARROSO BRAGA 270 ESPERANCA
510197,RUA SACADA DA BRASILIA 23 FAZENDA GERA
167408,AVENIDA FRANCISCO DE ASSIS 3053 CENTRO
607477,RUA TUKUNAGA OU DEZESEIS DE JULHO 341 SOBRAL
251953,RUA ECOLOGIA 5518 FLODOALDO PONTES PINTO
248914,RUA DEZENOVE DE JUNHO 3159 COSTA E SILVA
442452,RUA MATO GROSSO 5559 CENTRO
977278,RUA A 99 JORGE TEIXEIRA SANTA INES
981098,RUA ACRA 127 NOVA CIDADE
253831,RUA ENREDO 3478 CUNIA
938765,BECO SAO MIGUEL 31 LIRIO DO VALE
385164,RUA UM MIL QUINHENTOS E DOIS 2329 CRISTO REI
607078,RUA TREZE DE MAIO 559 SOBRAL
857520,AVENIDA BEIJA FLOR 25 JORGE TEXEIRA 1 ETP
993101,RUA ANDORINHA 490 JORGE TEIXEIRA CIDADE DE DEUS
885371,AVENIDA MONSENHOR PINTO 80 MONTE DAS OLIVEIRAS
892045,AVENIDA RIO BRANCO 880 SAO RAIMUNDO
875335,AVENIDA GETULIO VARGAS 140 COLONIA ANTONIO ALEIXO
478052,RAMAL KM 12 12 GRANADA
498146,RUA DE MINAS GERAIS 190 VARZIA
778194,RUA VILLA LOBOS 745 SAO JOSE
104333,AVENIDA PRINCESA ISABEL 1979 GUAJARA MIRIM
309634,RUA TENREIRO ARANHA 1971 AREAL
257115,RUA FILIPINAS 872 NACIONAL
43757,AVENIDA JUSCELINO KUBITSCHEK 695 NOVO HORIZONTE
923580,BECO MAUA 170 COROADO
786466,RUA 6 208 CACA PIRERA
448738,RUA JOSE VALADARES 3169 MONTE NEGRO
408545,AVENIDA MONTE NEGRO 1905 SETOR 03
226510,RUA ANANIAS FERREIRA DE ANDRADE 2939 LAGOINHA
1038900,RUA CINCO 6 JORGE TEIXEIRA SANTA INES
122744,RUA VINTE E UM DE ABRIL 4041 BAIRRO JARDIM DO ESTADOS
53211,RUA GRACILIANO RAMOS 761 SOCIEDADE BELA VISTA
547458,RUA 05 424 OBRA DO PAC
414888,RUA SAO FRANSICO DO GUAPORE 1212 SETOR 07
2206,AVENIDA NILO PECANHA 2299 TUCANO
146005,RUA LUIZ MUZAMBINHO 2133 NOVA BRASILIA
347362,AVENIDA PORTO VELHO 5987 SAO CRISTOVAO
566635,RUA DEZ DE JUNHO 399 TROPICAL
146520,RUA MANOEL FRANCO 2011 NOVA BRASILIA
1091433,RUA EMILIO MOREIRA 55 CENTRO
5355,AVENIDA CURITIBA 5210 CIDADE ALTA
4564,RUA PERNAMBUCO 3660 SANTA FELICIDADE
507823,ESTRADA ASSIS BRASIL 2100 DERACRE
1118606,RUA INGLATERRA 500 GILBERTO MESTRINHO
13977,RUA BOUGAINVILLEA 2608 SETOR 4
271788,RUA JOAO PEDRO DO ROCHA 1031 NOVA PORTO VELHO
796063,BECO TEODORICO NUNES 538 JAUARY I
890331,AVENIDA PRINCIPAL I 148 COROADO
772137,AVENIDA RIO MADEIRA 1618 NOVA HUMAITA
151604,RUA RIO AMAZONAS 898 JARDIM PRESIDENCIAL
952018,RUA 14 ABRIL 255 GILBERTO MESTRINHO
188672,RUA SEBASTIAO CABRAL DE SOUZA 904 NOVA OURO PRETO
1035746,RUA CENTO E QUARENTA E DOIS 44 C NOVA
1007974,RUA BARREIRINHA 278 SAO JOSE OPERARIO
640907,AVENIDA SETE DE SETEMBRO 960 RODRIGUES ALVES
781650,AVENIDA TRINTA E UM DE MARCO 21 IPIXUNA
527457,RUA RAIMUNDO BEZERRA 226 CENTRO
1037023,RUA CENTO SETENTA E DOIS 45 NOVO ALEIXO
87477,RUA DOS PASSAROS 2505 BAIRRO JORGE TEIXEIRA
684482,RUA MINAS GERAIS 628 CENTRO
1046425,RUA COIRAMA 236 JORGE TEIXEIRA 2 ETAPA
564193,RUA DA OLARIA 157 TANCREDO NEVES
187068,RUA MINAS GERAIS 196 BAIRRO JARDIM NOVO ESTADO
537810,AVENIDA EDMUNDO PINTO 473 SAO FRANCISCO
550029,RUA ACRE 400 AEROPORTO VELHO
1034768,RUA CEARA 300 CHAPADA
668154,RUA HIPOLITO RAMOS 328 SIBERIA
442560,RUA RIO BRANCO 3060 CENTRO
457686,RUA MACAPA 1930 CIDADE BAIXA
772435,AVENIDA PADRE JOSE MARIA PENA 1484 SAO PEDRO
670156,RUA RAMAL CENTRAL 18 SERINGAL
916047,BECO CUMARU 29 SANTA ETELVINA
478329,RAMAL LINHA 5 58 ORION
1004332,RUA B 353 JORGE TEIXEIRA SANTA INES
636970,RAMAL EL SHADAY 485 RAMAL
850154,ACESSO RUA PROJETADA 02 13 JAPIIM
366169,AVENIDA LIRIO DO VALE OU 1713 2159 JARDIM PRIMAVERA
504340,RUA SEM DENOMINACAO 30 BAIRRO VINTE E CINCO DE AGOSTO
926425,BECO REGO BARROS 251 SAO RAIMUNDO
4035,RUA ARTUR BERNARDES 5467 REDONDO
132299,RUA BRASILEIA 3314 JORGE TEIXEIRA
1120275,RUA IRANDUBA 62 SAO JOSE
575065,RUA FRANCISCO VIEIRA 26 AEROPORTO VELHO
628557,TRAVESSA LUA NOVA 46 BOSQUE
725240,COMUNIDADE SAO JOSE 8 RIO MANACAPURU
524391,RAMAL DOS VIRGINIOS 52 VIRGINIOS
401887,AVENIDA TANCREDO DE ALMEIDA NEVES 3063 CENTRO
639923,RUA NOVA 101 SANTA CECILIA
394207,AVENIDA RAIMUNDO BRASILEIRO 3990 SAO JOSE
311482,RUA TRAVESSIA 7910 JK
970335,RUA 5 13 REDENCAO
575561,RUA GAIVOTA 58 PLACAS
188163,RUA RIO DE JANEIRO 150 JARDIM BANDEIRANTE
788831,RUA JOSE MARIA MUNIZ 16 MORADA DO SOL
648233,RUA TRIUNFO 792 TRIUNFO
1029661,RUA CARAJAS 64 C NOVA
786178,RUA 3 781 CACAU PIRERA
527903,RIO JURUA 24 JURUA
623980,TRAVESSA CUPUACU 59 MOCINHA MAGALHAES
1056141,RUA DA BOMBA 142 SAO LAZARO
384398,RUA SETECENTOS E TRINTA E UM 1172 CRISTO REI
899567,AVENIDA URUCARA 882 CACHOEIRINHA
993660,RUA ANGELO BITTENCOURT 290 GILBERTO MESTRINHO
1030256,RUA CARAUARI 1338 REDENCAO
909633,BECO AJURICABA 37 CACHOEIRINHA
714240,RUA NOVA 551 PLATO DO PIQUIA
298034,RUA RAFAEL VAZ E SILVA 1728 NOSSA SENHORA DAS GRACAS
1110640,RUA H 10 GILBERTO MESTRINHO
941201,ESTRADA DA PONTA NEGRA 2113 PONTA NEGRA
127787,AVENIDA MARECHAL RONDON 2445 DOIS DE ABRIL
104318,AVENIDA PRINCESA ISABEL 1732 GUAJARA MIRIM
749463,RUA RIO URUCU 173 SANTA EFIGENIA
277473,RUA LAURO ALENCAR 8297 JUSCELINO KUBITSCHEK
643137,RAMAL IGRARAPE DO MEIO 54 RODRIGUES ALVES
766471,AVENIDA FRANCISCO PEREIRA DE SOUZA 654 CENTRO
935970,BECO SAO FRANCISCO 34 MAUAZINHO VILA DA FELICIDADE
599905,RUA RIO GRANDE DO SUL 2307 AEROPORTO VELHO
1127468,RUA JAPECANGA 174 JORGE TEIXEIRA 4 ETP
1081143,RUA DOIS 307 CIIDADE DE DEUS
856541,AVENIDA B 2 ALVORADA I
866538,AVENIDA CONSTANTINO NERY 3900 CHAPADA
15983,RUA CEU AZUL 4863 NOVE
1007829,RUA BARREIRINHA 94 PARQUE 10
111296,RUA FLORIANOPOLIS 2265 SETOR 03
354864,RUA RIO VERDE 4151 CENTRO
76916,RUA MARANHAO 5075 MATO GROSSO
500081,RUA DO PARA 2292 BATE
892957,AVENIDA RIO MAR 429 NOSSA SENHORA DAS GRACAS
969967,RUA 47 1002 JAPIIM
16564,RUA COSTA E SILVA 2890 SETOR 08 NOVO
79744,AVENIDA MARECHAL RONDON 2356 CENTRO
1140277,RUA KAMPALA 1 PLANALTO
487572,TRAVESSA JOAQUIM DE LIMA 350 CENTRO
161156,RUA SANTA CLARA 2838 CAFEZINHO
280107,RUA MAGNO ARSOLINO 4840 CIDADE DO LOBO
948753,RUA 10 370 GILBERTO MESTRINHO
278974,RUA LUIS DE CAMOES 6659 PORTO VELHO
730868,RUA MANOEL PEDRO DE OLIVEIRA 2000 NOVA REPUBLICA
628002,TRAVESSA JOAQUIM CHAVES 2175 AVIARIO
422904,RUA PRUDENTE DE MORAIS 2167 SETOR 01
558605,RUA BOULEVARD AUGUSTO MONTEIRO 768 QUINZE
605167,RUA SILVESTRE COELHO 348 BOSQUE
642820,RAMAL BOM VENTO 35 R0DRIGUES ALVES
940223,CONJUNTO JARDIM YOLANDA 12 PARQUE DEZ DE NOVEMBRO
78971,LINHA SEGUNDA EIXO 14 SEGUNDA EIXO
1057173,RUA DA IGREJA 118 SANTA LUZIA
440131,RUA AIRTON SENNA 1698 CENTRO
444385,AVENIDA DOS MIGRANTES 2453 CENTRO
67434,LINHA MATO GROSSO 60 LINHA MATO GROSSO
336214,AVENIDA MARECHAL DEODORO 1182 LINO ALVES TEIXEIRA
305184,RUA SEM DENOMINACAO 81 CASCALHEIRA
590702,RUA N SETE 84 TUCUMA II
508281,RAMAL BURITIRANA 90 COLONIA SAO PEDRO
316298,RUA VILHENA 7644 NACIONAL
890395,AVENIDA RAMOS D 22 CIDADE NOVA
654829,RUA MARANHAO 472 CAFEZAL
453028,RUA SANTA CATARINA 906 CENTRO
181323,AVENIDA DUQUE DE CAXIAS 1509 BAIRRO NOVA OURO PRETO
353218,RUA JAGUARIBE 3562 BAIRRO OLIMPICO
508695,RAMAL MOURA PIRANGA 8 BR
1000468,RUA ASTRO BARROSO 32 COROADO III
284745,RUA MIGUEL CALMON 3706 CALADINHO
23938,RUA MACAUBAS 5206 NOVE
912896,BECO BOA SORTE 4 103 PRESIDENTE VARGAS
1014290,RUA BENJAMIN CONSTANT 348 PETROPOLIS
887612,AVENIDA PEDRO TEIXEIRA 52 DOM PEDRO II
794077,AVENIDA JOSE TADROS 3204 EDUARDO BRAGA II
99473,AVENIDA MENDONCA LIMA 108 CENTRO
401014,RODOVIA 429 7402 ZONA RURAL
572576,RUA F 112 BAHIA PALHERAL
371994,AVENIDA PRESIDENTE TANCREDO NEVES 50 JARDIM ELDORADO
696350,RUA CINCO DE SETEMBRO 95 NOSSA SENHORA DE NAZARE
396536,AVENIDA INDEPENDENCIA 4417 CENTRO
318327,RUA BARAO DO RIO BRANCO 259 CENTRO
530451,RUA JUAREZ TAVORA 288 CENTRO
1142175,RUA LAS PALMAS 205 NOVA CIDADE
991690,RUA AMZONINO MENDES 55 JORGE TEIXEIRA 1 ETP
251081,RUA DOS BURITIS 3945 NOVA FLORESTA
413233,RUA RIO BRANCO 870 SETOR 05
1080225,RUA DOIS 56 CIDADE DE DEUS
558144,RUA BONS AMIGOS 140 JORGE LAVOCAT
228409,RUA ANITA GARIBALDI 3998 COSTA E SILVA
446501,ASSENTAMENTO PADRE EZEQUIEL RAMIN 5 2300 GLEBA 09 SENTIDO FAZENDA MIRANTE
1064131,RUA DAS FLORES 45 CIDADE NOVA
841855,RUA CORONEL JUVENCIO SORIANO 1280 SAO JOSE
57339,RUA MONTEIRO LOBATO 1768 TEIXEIRAO
262107,RUA GRANDE OTELO 3243 ZONA LESTE
808594,RUA VEREADOR ADOLFO OLIMPIO 3079 ARAUJO COSTA
609173,RUA VETERANO R PINTO 453 MANOEL JULIAO
471377,LINHA MP 24 14 VALE DO ANARI
152458,RUA RIO NEGRO 119 JARDIM DOS MIGRANTES
361894,AVENIDA AMAZONAS 5515 QUINTO BEC
237696,RUA BUENOS AIRES 2010 PORTO VELHO
126647,AVENIDA TRANSCONTINENTAL 3296 JARDIM AURELIO BERNARDI
282884,RUA MARIO ANDREAZZA 8021 JK
294122,RUA PINTADO 5733 LAGOA
912310,BECO BELEM 63 COMPENSA
987516,RUA ALVARO 21 JAPIIM
440372,RUA FORTALEZA DO ABUNA 1661 CENTRO
668563,RUA NACOES UNIDAS 274 RAIMUNDO HERMINIO DE MELO
389893,RUA GUAPORE 2201 CENTRO
654499,RUA LUZIA COSTA FIGUEREDO 51 ELGENIO ALGUSTO AREAL
909204,AVENIDA VISCONDE PORTO ALEGRE 1849 PRACA 14 DE JANEIRO
1053849,RUA D 6 COROADO
685110,RUA TREZE DE NOVENBRO 720 CENTRO
384567,RUA SETECENTOS E VINTE E SEIS 9 MARCOS FREIRE
672508,RAMAL LINHA 1 360 PROJETO HUMAITA
657614,RUA PADRE EGIDIO 406 CENTRO
832775,RUA ANGELUS FIGUEIRA 1831 CORRENTEZA
194794,AVENIDA MINAS GERAIS 319 JARDIM DAS OLIVEIRAS
855274,AVENIDA ATROARIS 55 CIDADE NOVA
959417,RUA 205 A 42 NOVA CIDADE
564237,RUA DA PAZ 21 RAIMUNDO MELO
912125,BECO BELA VISTA 4 REDENCAO
721261,TRAVESSA MONSENHOR COUTINHO 94 BAIRRO IPIRANGA
210493,AVENIDA NACOES UNIDAS 950 MATO GROSSO
542528,BECO SEM DENOMINACAO 2 392 BAIRRO 6 DE AGOSTO
745578,RUA EDUARDO RIBEIRO 478 CENTRO
661655,RUA CARLOS C R DA COSTA 1137 AVELINO LEAL
1066734,RUA DAS PERPETUAS 34 JORGE TEIXEIRA 1 ETAPA
44815,AVENIDA PORTO ALEGRE 519 NOVO CACOAL
165663,RODOVIA 364 215 GREBA PIRINEU
183994,RUA E 443 JARDIM NOVO HORIZONTE
345594,AVENIDA MARINGA 5546 BOA ESPERANCA
1131711,RUA JOAO DE BARRO 268 JORGE TEIXEIRA
47987,RUA ANA LUCIA 1983 NOVO CACOAL
581453,RUA JOSE JOAQUIM 105 WANDERLEY DANTAS
81860,AVENIDA HASSIB CURY 1406 SETOR0005
1057648,RUA DA MINA 131 JORGE TEIXEIRA
947673,RUA 1 34 ALVORADA
185637,RUA JOAO PAULO PRIMEIRO 1250 NOVA OURO PRETO
468547,RUA QUINZE DE NOVEMBRO 1480 ALTO ALEGRE
3287,AVENIDA SEM DENOMINACAO 05 2 PORTO ROLIM DE MOURA DO GUAPORE
972515,RUA 6 DE OUTUBRO 198 GILBERTO MESTRINHO
251436,RUA DOS NAVEGANTES 6177 ZONA SUL
1024981,RUA C SEIS 1732 JAPIIM
911031,BECO AYRAO 2222 PRACA 14 DE JANEIRO
505954,TRAVESSA DA ALEGRIA 187 BAIRRO VINTE E CINCO DE AGOSTO
568693,RUA DO PASSEIO 781 TAQUARI
442724,RUA TREZE DE FEVEREIRO 3251 CENTRAL
383210,RUA SEISCENTOS E TRINTA E UM 349 PARQUE IND SAO PAULO
1097157,RUA F OITI 98 CIDADE NOVA
209793,AVENIDA JOSE VIEIRA CAULA 8110 ZONA LESTE
686866,ESTRADA CUNHA GOMES 817 CENTRO
268645,RUA JAGUARAO 5537 ZONA SUL
987262,RUA ALUISIO BRASIL 22 PETROPOLIS
521014,AVENIDA JAPIIM 281 BAIRRO GUARANI
366244,AVENIDA MATO GROSSO 3444 PARQUE INDUSTRIAL NOVO TEMPO
1070435,RUA DEZ DE SETEMBRO 136 JORGE TEIXEIRA 4A ETAPA
1132877,RUA JOAO WALTER 46 COMPENSA
755690,VILA FERNANDES 28 VILA FERNANDES
5186,RUA SANTA CATARINA 3320 SANTA FELICIDADE
1029335,RUA CANUMA 140 JAPIIM
606606,RUA TOME DE SOUZA 133 CONJUNTO BELA VISTA
1055603,RUA D LOURDES 35 ALVORADA
114269,RUA NILTON OLIVEIRA ARAUJO 2359 SETOR 04
718694,AVENIDA SILVERIO NERY 721 CENTRO
1082025,RUA DOIS IRMAOS 10 RIACHO DOCE 1
819908,RUA CICERO TUCHAUA 260 CENTRO
574217,RUA FORMOSA 770 NOVA ESTACAO
913786,BECO BRASIL 104 COMPENSA
1124496,RUA J 131 JORGE TEIXEIRA COMUNIDADE BAIRRO NOVO
579988,RUA JOAO F. DA CUNHA 337 CONJUNTO PROCOM
1140358,RUA KOBE 10 PARQUE 10 DE NOVEMBRO
1029354,RUA CAPANEMA 10 DOM PEDRO I
