id_x,endereco_x,id_lt_x,id_y,endereco_y,id_lt_y,score
373686,RUw 347 491 VLIA iPERARIA,13,532223,RAMAL CEU ABERTO 5 COLONIA 3 IRMAOS,6612,0.17310272
373686,RUw 347 491 VLIA iPERARIA,13,508804,RAMAL TRES 44 BR364,1759,0.17771047
373686,RUw 347 491 VLIA iPERARIA,13,650108,RAMAL GLEBA F 4600 SENADOR GUIOMARD,5101,0.17861122
961181,RUA 219 99 NOVO ALEIXO,14,961181,RUA 219 99 NOVO ALEIXO,3136,1.0734505e-05
961181,RUA 219 99 NOVO ALEIXO,14,961146,RUA 219 59 NOVO ALEIXO,30,0.016229935
961181,RUA 219 99 NOVO ALEIXO,14,961169,RUA 219 81 NOVO ALEIXO,1523,0.017315049
961181,RUA 219 99 NOVO ALEIXO,14,961149,RUA 219 61 NOVO ALEIXO,9048,0.01980631
961181,RUA 219 99 NOVO ALEIXO,14,963222,RUA 248 89 NOVO ALEIXO,6405,0.021108057
694752,RUAU RUAU M 90 MONTE SINAI,15,694752,RUA UM 90 MONTE SINAI,6600,0.09909175
694752,RUAU RUAU M 90 MONTE SINAI,15,790716,RUA UIRAPURU 18 NOVO AMANHECER,8967,0.102753796
694752,RUAU RUAU M 90 MONTE SINAI,15,507243,AVENIDA RIO JURUA 1959 MIRITZAL,3750,0.10527649
694752,RUAU RUAU M 90 MONTE SINAI,15,1040232,RUA CINCO 89 PURAQUEQUARA,3491,0.105292365
694752,RUAU RUAU M 90 MONTE SINAI,15,330277,RUA 54A 10 NOVA MUTUM,5805,0.10647246
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL,16,148586,RUA MENEZES FILHO 2997 DOIS DE ABRIL,1068,0.09281085
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL,16,140689,RUA FLORES 490 DOIS DE ABRIL,8432,0.095375106
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL,16,23436,RUA LAJES 5099 NOVE,3976,0.10146357
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL,16,14230,RUA BRUSQUE 4984 NOVE,4056,0.10456315
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL,16,291857,RUA PAULO LEAL 588 QUILMETRO UM,2267,0.105432555
496224,RUA AkFREO TELES 227 Noé,17,970588,RUA 5 69 COROADO,6778,0.09172728
496224,RUA AkFREO TELES 227 Noé,17,1130158,RUA JERUSALEM 41 COROADO,6093,0.105101585
496224,RUA AkFREO TELES 227 Noé,17,965248,RUA 3 18 COROADO,8288,0.10724066
496224,RUA AkFREO TELES 227 Noé,17,1129990,RUA JERUSALEM 18 COROADO,5934,0.1138638
496224,RUA AkFREO TELES 227 Noé,17,611132,RUA X 845 NOVO CALAFATE,6984,0.11925554
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA,18,530273,RUA JOSE JOAQUIM PEREIRA 1275 OLARIA,122,0.0058033634
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA,18,260765,RUA GERALDO SIQUEIRA 5723 CASTANHEIRA,2162,0.054110073
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA,18,55560,RUA JOSE TOMAZ DE AQUINO 4194 JOSINO BRITO,3213,0.0570848
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA,18,55354,RUA JOSE MARQUES DE OLIVEIRA 5063 RIOZINHO,8597,0.057810187
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA,18,55521,RUA JOSE TOMAZ DE AQUINO 3915 JOSINO BRITO,8359,0.059392132
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA,19,657331,RUA GOVERNADOR ORLEIR CAMELI 1 ANA ALVES VIEIRA,5044,0.050888613
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA,19,320542,RUA GOVERNADOR ARI MARCOS 1280 AGENOR M DE CARVALHO,8360,0.0731566
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA,19,320661,RUA GOVERNADOR ARI MARCOS 2100 AGENOR M DE CARVALHO,3603,0.075751044
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA,19,1092201,RUA ENGENHEIRO VILAR FIUZA 3 SSO JOSE OPERARIO,1840,0.076423354
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA,19,223428,RUA ALEXANDRE GUIMARAES 4610 AGENOR M DE CARVALHO,1030,0.07902898
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE,20,883933,AVENIDA MARGARITA 2258 NOVA CIDADE,9900,0.018555347
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE,20,885947,AVENIDA NEPAL 290 NOVA CIDADE,7801,0.052689943
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE,20,899150,AVENIDA TUCUMA 762 CIDADE NOVA,9308,0.05429625
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE,20,855274,AVENIDA ATROARIS 55 CIDADE NOVA,407,0.059383094
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE,20,855351,AVENIDA ATROARIS 119 CIDADE NOVA,4692,0.062087703
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,21,1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,6539,4.8246034e-06
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,21,1042146,RUA CINCO DE SETEMBRO 27 JAPIIM,5569,0.023819005
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,21,1041914,RUA CINCO DE JUNHO 516 COROADO,3671,0.060565293
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,21,961948,RUA 23 DE SETEMBRO 1287 LAGO AZUL,9686,0.06530906
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM,21,1041641,RUA CINCO DE FEVEREIRO 623 BETANIA,1164,0.07060115
912916,BECO BOA SORTE 4 317 PRESIDENTE,22,912916,BECO BOA SORTE 4 317 PRESIDENTE VARGAS,8438,0.0364315
912916,BECO BOA SORTE 4 317 PRESIDENTE,22,912896,BECO BOA SORTE 4 103 PRESIDENTE VARGAS,360,0.041940585
912916,BECO BOA SORTE 4 317 PRESIDENTE,22,934616,BECO SANTA RITA 1007 COROADO,7523,0.09723823
912916,BECO BOA SORTE 4 317 PRESIDENTE,22,930848,BECO SILVA 2 MAUAZINHO,7105,0.1030326
912916,BECO BOA SORTE 4 317 PRESIDENTE,22,924482,BECO NOVA JERUSALEM 23 JORGE TEIXEIRA 4 ETAPA,8344,0.10579583
565120,RA DAMA DA NOjTE 773 TROPCIL,23,535900,ALAMEDA MANACAIAS 358 CHACARA IPE,182,0.11325055
565120,RA DAMA DA NOjTE 773 TROPCIL,23,637662,RAMAL PICAREIRA 520 AMAPA,9958,0.1166286
565120,RA DAMA DA NOjTE 773 TROPCIL,23,851689,ALAMEDA ITALIA 82 CHAPADA,8757,0.11861709
565120,RA DAMA DA NOjTE 773 TROPCIL,23,625250,TRAVESSA DO DIVISOR 76 ELDORADO,8250,0.13152373
565120,RA DAMA DA NOjTE 773 TROPCIL,23,636897,RAMAL DOIS IRMAOS 63 TRANSACRIANA,3005,0.13181272
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,24,1026490,RUA CAJUBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,8788,0.023268213
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,24,1008200,RUA BARREIRINHA ANTIGA RUA J 4 SAO JOSE OPERARIO,492,0.050465345
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,24,1008456,RUA BARREIRINHA ANTIGA RUA J 245 SAO JOSE OPERARIO,4729,0.050763093
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,24,1052061,RUA CURIAU ANTIGA RUA RIO BRANCO 120 SAO JOSE OPERARIO,5802,0.060193382
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2,24,1008165,RUA BARREIRINHA (RUA J) 2 SAO JOSE OPERARIO 3,5479,0.06449469
840990,RUA VALDEMAR VENTURA 2383 SAOJOS,25,840990,RUA VALDEMAR VENTURA 2383 SAO JOSE,1471,0.027902037
840990,RUA VALDEMAR VENTURA 2383 SAOJOS,25,841033,RUA VALDEMAR VENTURA 2486 SAO JOSE,3912,0.049054258
840990,RUA VALDEMAR VENTURA 2383 SAOJOS,25,280768,RUA MANE GARRINCHA 3423 PORTO VELHO,7458,0.05713382
840990,RUA VALDEMAR VENTURA 2383 SAOJOS,25,310173,RUA TEOFILO OTONI 2906 LAGOINHA,6546,0.06025178
840990,RUA VALDEMAR VENTURA 2383 SAOJOS,25,315208,RUA VESPASIANO RAMOS 3018 NOVA PORTO VELHO,6604,0.06267473
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0,26,210209,AVENIDA MAMORE 4362 TIRADENTES,5860,0.09514877
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0,26,218491,ESTRADA DO BELMONT 2086 NACIONAL,5625,0.09522472
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0,26,74860,AVENIDA TROMBETAS 4582 CRUZEIRO,2348,0.09540518
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0,26,210405,AVENIDA MEXICO 3223 EMBRATEL,2210,0.097202785
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0,26,218501,ESTRADA DO BELMONT 2358 NACIONAL,4548,0.09841688
66429,LINH â14 33 LIHNA 14,27,66429,LINHA 14 33 LINHA 14,3065,0.15740237
66429,LINH â14 33 LIHNA 14,27,423463,LINHA 02 17 None,3913,0.16661885
66429,LINH â14 33 LIHNA 14,27,173958,LINHA LJ 4 141 MACHADINHO,9817,0.1668123
66429,LINH â14 33 LIHNA 14,27,421154,LINHA 15 39 LINHA 615,1731,0.17231728
66429,LINH â14 33 LIHNA 14,27,473931,LINHA 202 FINAL 40 ESQUINA LH 153,8478,0.17569259
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,28,916711,BECO DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,7650,0.015621225
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,28,917963,BECO DAS FLORES 15 NOSSA SENHORA APARECIDA,9527,0.063952886
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,28,772602,BECO CONCORDIA 86 NOSSA SENHORA DO CARMO,7476,0.084006846
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,28,903851,AVENIDA NOSSA SENHORA APARECIDA 147 CIDADE DE DEUS,2114,0.08430037
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA,28,913845,BECO BRASIL 377 NOSSA SENHORA APARECIDA,1704,0.084526464
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS,29,597425,RUA QUARUBA 20 RES. SANTA CRUZ/PLACAS,2203,0.022785386
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS,29,562317,RUA CRUZEIRO DO SUL 136 PLACAS,7050,0.09998101
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS,29,558080,RUA BOM JESUS 196 PLACAS/XAVIER MAIA,4047,0.10198328
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS,29,573351,RUA FLAMINGO 96 PLACAS,8314,0.103128664
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS,29,1050919,RUA CRUZEIRO DO SUL 1 ALVORADA,5965,0.10838039
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA,30,865268,AVENIDA CONSTANTINO NERY 2229 CAHAPADA,3926,0.038405906
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA,30,865429,AVENIDA CONSTANTINO NERY 2229 CAHAPADA,6884,0.040514685
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA,30,865287,AVENIDA CONSTANTINO NERY 2229 CAHAPADA,6050,0.04091544
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA,30,865458,AVENIDA CONSTANTINO NERY 2229 CHAPADA,4991,0.041420262
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA,30,866334,AVENIDA CONSTANTINO NERY 3451 CHAPADA,6386,0.049720213
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO,31,801812,RUA HILARIO ANTUNES 1782 SANTO ANTONIO,3791,0.014940491
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO,31,762497,RUA OLAVO BILAC 456 SANTO ANTONIO,1351,0.06775736
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO,31,823607,RUA EMILIO CANIZIO 1093 PANTANAL,5381,0.081194386
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO,31,804353,RUA OSCAR RAMOS 1737 SANTO ANTONIO,5677,0.0852536
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO,31,229857,RUA ANTONIO VIOLAO 3362 TANCREDO NEVES,3767,0.08586395
267902,RUA JACINTO 3016 ELETRONORTE,32,267902,RUA JACINTO 3016 ELETRONORTE,2141,1.6600712e-05
267902,RUA JACINTO 3016 ELETRONORTE,32,227905,RUA ANGICO 2720 ELETRONORTE,4213,0.024659622
267902,RUA JACINTO 3016 ELETRONORTE,32,276601,RUA JUNQUILHO 1336 ELETRONORTE,1259,0.031632457
267902,RUA JACINTO 3016 ELETRONORTE,32,308140,RUA TAMAREIRA 3167 ELETRONORTE,5134,0.033465263
267902,RUA JACINTO 3016 ELETRONORTE,32,276684,RUA JUPITER 3320 B ELETRONORTE,3274,0.03412283
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO,33,181317,AVENIDA DUQUE DE CAXIAS 1455 BAIRRO NOVA OURO PRETO,3529,0.046408795
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO,33,181348,AVENIDA DUQUE DE CAXIAS 1733 BAIRRO NOVA OURO PRETO,9228,0.04793907
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO,33,181323,AVENIDA DUQUE DE CAXIAS 1509 BAIRRO NOVA OURO PRETO,354,0.05060199
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO,33,372658,RUA 1504 OU DAS VINOLIAS 2776 JARDIM PRIMAVERA,7056,0.07901311
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO,33,1092621,RUA ERICO VERISSIMO ANTIGA A4 150 NOVA REPUBLICA,5001,0.08520135
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA,34,895880,AVENIDA SUMARE 1433 JORGE TEIXEIRA COMUNIDADE VAL PARAISO,5082,0.08557058
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA,34,898545,AVENIDA TORQUATO TAPAJOS 840 FLORES,2497,0.10135816
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA,34,982878,RUA AGATA 20 TANCREDO NEVES,4381,0.10248144
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA,34,898712,AVENIDA TORQUATO TAPAJOS 6437 TARUMA,9777,0.10384528
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA,34,897329,AVENIDA TEFE 801 CACHOEIRINHA,1156,0.10448131
726724,RUA JiOA PONTES 1039 CANUTAMA,35,726724,RUA JOAO PONTES 1039 CANUTAMA,7072,0.045680027
726724,RUA JiOA PONTES 1039 CANUTAMA,35,726710,RUA JOAO PONTES 904 CANUTAMA,4760,0.060178295
726724,RUA JiOA PONTES 1039 CANUTAMA,35,726840,RUA PORFIRIO CHAGAS 1102 CANUTAMA,1225,0.076279014
726724,RUA JiOA PONTES 1039 CANUTAMA,35,571811,RUA EPAMINONDAS JACOME 2080 CADEIA VELHA,8411,0.07869579
726724,RUA JiOA PONTES 1039 CANUTAMA,35,836300,RUA ITACOATIARA 2158 UNIAO,4806,0.08278836
950737,RUA h12 481 AVORADA,36,950737,RUA 12 481 ALVORADA,1239,0.0320163
950737,RUA h12 481 AVORADA,36,970733,RUA 5 358 ALVORADA,7964,0.05142803
950737,RUA h12 481 AVORADA,36,973651,RUA 7 301 ALVORADA,817,0.052398354
950737,RUA h12 481 AVORADA,36,975048,RUA 8 435 ALVORADA,2946,0.054094184
950737,RUA h12 481 AVORADA,36,1004652,RUA B 28 3 ALVORADA,8252,0.05880722
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA,37,380228,RUA NOVECENTOS E TRES 2097 BAIRRO NOVA ESPEANCA,9848,0.048191503
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA,37,1082076,RUA DOIS RIACHOS ANTIGA A11 9 ALVORADA,6358,0.09172481
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA,37,1092621,RUA ERICO VERISSIMO ANTIGA A4 150 NOVA REPUBLICA,5001,0.10261716
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA,37,1092673,RUA ERICO VERISSIMO ANTIGA L4 543 NOVA REPUBLICA,8100,0.10790478
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA,37,1031358,RUA CARLOS DRUMONDDE ANDRADE ANTIGA RUA G TRES 124 NOVA REPUBLICA,9232,0.10874337
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO,38,1011292,RUA BELA VISTA 400 GILBERTO MESTRINHO,4747,0.03399533
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO,38,1010839,RUA BELA VISTA 50 GILBERTO MESTRINHO,2022,0.03852027
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO,38,988202,RUA AMATURA 174 GILBERTO MESTRINHO,6332,0.04677911
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO,38,983113,RUA AGRESTINA 100 GILBERTO MESTRINHO,9572,0.04794424
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO,38,1098587,RUA FILADELFIA 15 GILBERTO MESTRINHO,5458,0.051576093
426034,RuUA CASTELO BRANCO 653 BAIROR UNIAO,39,426034,RUA CASTELO BRANCO 653 BAIRRO UNIAO,4424,0.04644452
426034,RuUA CASTELO BRANCO 653 BAIROR UNIAO,39,426038,RUA CASTELO BRANCO 700 BAIRRO UNIAO,8234,0.055761322
426034,RuUA CASTELO BRANCO 653 BAIROR UNIAO,39,426074,RUA CASTELO BRANCO 1070 UNIAO,1243,0.07268497
426034,RuUA CASTELO BRANCO 653 BAIROR UNIAO,39,1131969,RUA JOAO LIBERAL 95 CIDADE NOVA,5617,0.074086554
